"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
,,,
"a"," a","a","b"
"a"," a","a","b"
"a"," a","a","b"
"a","a","a","a"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Archer","a","a","c"
"24","a","a","c"
"Big Little Lies","a","a","c"
"The Good Place","a","a","c"
"The big bang theory","12T"
"Friends","10T"
"How I met your mother","9T"
"Scrubs","8T"
"Dexter","8T"
"Games of thrones","8T"
"Suits","8A"
"Malcolm","7T"
"House","7A"
"High Stakes Poker","7A"
"The shield","6T"
"Lost","6T"
"Oz","6T"
"Modern Family","6A"
"Brooklyn Nine-Nine","5S"
"House of Cards","6A"
"CSI","6A"
"Heroes","5T"
"Breaking bad","5T"
"Silicon Valley","4S"
"Luther","4S"
"Prison Break","5A"
"Boston legal","5A"
"The walking dead","5A"
"24","5A"
"Episodes","4T"
"IT Crowd","4T"
"Unbreakable Kimmy","4T"
"Rick & Morty","4W"
"The Good Place","4W"
"Six feet under","4A"
"Californication","4A"
"Black Book","3T"
"Veronica Mars","3S"
"Ozark","2S"
"Dark","2S"
"Vikings","4A"
"The Expanse","2S"
"The Office (UK)","2T"
"Joey","2T"
"Westworld","1S"
"American Crime Story","2S"
"Better Call Saul","1S"
"Bojack Horseman","1S"
"Louis","2A"
"The Blacklist","2A"
"Lie to me","2A"
"Robot Chicken","2A"
"Plan Coeur","2T"
"Archer","2A"
"The Office (US)","1A"
"Mad Men","1A"
"Arrested Development","1A"
"30 Rock","1A"
"Peaky Blinders","5S"
"You're the Worst","0N"
"Mary Kills People","0N"
"Killing Eve","0N"
"Stranger Things","3A"
"One Tree Hill","0N"
"Sex and The City","0N"
"Pretty Little Liars","0N"
"Big Little Lies","0N"
"The B in Apartment 23","0N"
"The Cry","0N"
"Dirty John","0N"
"Greys Anatomy","0N"
"Gossip Girl","0N"
"The Handmaids Tale","0N"
"You","0N"
"What If","0N"
"Safe","0N"
"Bates Motel","0N"
"Orange is the new black","0N"
"Naruto","2T"
"Dragon Ball","2T"
"Hunter x Hunter","5A"
"Black Spot","2S"
"Maniac","1T"
"Unbelievable","1T"
"Unit 42","1S"
"Living with yourself","1A"
"The Witcher","1S"
"The Newsroom","1W"
