"ID","Movies","Date","Genre","Rating","IMDB","Metacritic","Year","Director","Writer","Cast","Search","Budget","Revenue","Oscar"
"1","LOOK WHO'S BACK","27/10/2019","Comedy, Drama, Fantasy","8","7.1","0","2015","David Wnendt","David Wnendt, Mizzi Meyer","Oliver Masucci, Thomas M. Köppl, Marc-Marvin Israel, David Gebigke, Paul Busche, Fabian Busch, Gerdy Zint, Nancy Maria Brüning, Lars Rudolph, Franziska Wulf, Christoph Maria Herbst, Thomas Thieme, Katja Riemann, Michael Ostrowski, Christoph Zrenner",,"3518782","25513752",
"2","SHAWSHANK REDEMPTION","03/11/2019","Drama","8","9.3","80","1994","Frank Darabont","Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella",,"25000000","28817291","Z:N/A:N/s:N/C:N/Z:N/E:N/Mo:N"
"3","DARKEST HOUR","09/11/2019","Biography, Drama, History, War","7","7.4","75","2017","Joe Wright","Anthony McCarten","Gary Oldman, Kristin Scott Thomas, Ben Mendelsohn, Lily James, Ronald Pickup, Stephen Dillane, Nicholas Jones, Samuel West, David Schofield, Richard Lumsden, Malcolm Storry, Hilton McRae, Benjamin Whitrow, Joe Armstrong, Adrian Rawlins",,"30000000","150847274","Z:W/A:W/M:N/C:N/Co:N/P:N"
"4","THE INFORMANT!","17/11/2019","Biography, Comedy, Crime, Drama","7","6.4","66","2009","Steven Soderbergh","Scott Z. Burns, Kurt Eichenwald","Matt Damon, Lucas McHugh Carroll, Eddie Jemison, Rusty Schwimmer, Craig Ricci Shaynak, Tom Papa, Rick Overton, Melanie Lynskey, Thomas F. Wilson, Scott Bakula, Scott Adsit, Ann Dowd, Allan Havey, Howie Johnson, Joel McHale",,"22000000","41771168",
"5","TRAIN TO BUSAN","24/11/2019","Action, Horror, Thriller","7","7.6","72","2016","Sang-ho Yeon","Joo-Suk Park, Sang-ho Yeon","Gong Yoo, Yu-mi Jung, Ma Dong-seok, Su-an Kim, Eui-sung Kim, Woo-sik Choi, Sohee, Soo-jung Ye, Myung-shin Park, Gwi-hwa Choi, Seok-yong Jeong, Jang Hyuk-jin, Seong-soo Han, Do-im Woo, Hye-Yeong Moon",,"8525580","92764199",
"6","KNIVES OUT","01/12/2019","Comedy, Crime, Drama, Mystery, Thriller","8","7.9","82","2019","Rian Johnson","Rian Johnson","Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, LaKeith Stanfield, Christopher Plummer, Katherine Langford, Jaeden Martell, Riki Lindhome, Edi Patterson, Frank Oz, K Callan",,"40000000","311594137","S:N"
"7","COHERENCE","04/12/2019","Drama, Horror, Mystery, Sci-Fi, Thriller","6","7.2","65","2013","James Ward Byrkit","James Ward Byrkit, James Ward Byrkit","Emily Baldoni, Maury Sterling, Nicholas Brendon, Lorene Scafaria, Elizabeth Gracen, Hugo Armstrong, Alex Manugian, Lauren Maher, Aqueela Zoll, Carrie Patterson, Kelly Donovan, Alexis Boozer Sterling, Mark Ballou",,"50000","139745",
"8","THE IRISHMAN","15/12/2019","Biography, Crime, Drama","8","7.8","94","2019","Martin Scorsese","Steven Zaillian, Charles Brandt","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jack Huston, Kathrine Narducci, Jesse Plemons, Domenick Lombardozzi, Paul Herman, Gary Basaraba",,"159000000","968853","D:N/a:N/a:N/s:N/C:N/Co:N/P:N/E:N/Z:N/M:N"
"9","FRACTURE","21/12/2019","Crime, Drama, Thriller","8","7.2","68","2007","Gregory Hoblit","Daniel Pyne, Glenn Gers","Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz, Billy Burke, Cliff Curtis, Fiona Shaw, Bob Gunton, Josh Stamberg, Xander Berkeley, Zoe Kazan, Judith Scott, Gary Carlos Cervantes, Petrea Burchard",,"0","92011561",
"10","THE GENTLEMEN","01/01/2020","Action, Comedy, Crime","8","7.8","51","2019","Guy Ritchie","Guy Ritchie, Ivan Atkinson","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong, Lyne Renée, Colin Farrell, Henry Golding, Tom Wu, Chidi Ajufo, Hugh Grant, Simon R. Barker, Eddie Marsan, Jason Wong, John Dagleish, Jordan Long",,"22000000","115171795",
